price,date
103816.88335938336,2025-01-18
103964.24313651744,2025-01-18
104838.54828188014,2025-01-18
103160.61556090412,2025-01-18
103767.46023413789,2025-01-18
103998.0354145325,2025-01-18
104274.99450502178,2025-01-18
103948.44962343243,2025-01-18
103770.53503226313,2025-01-18
104216.89840135271,2025-01-18
104451.81705559652,2025-01-19
104225.99000294389,2025-01-19
104397.09550527664,2025-01-19
104727.17434469632,2025-01-19
104990.56327421108,2025-01-19
104843.20490107588,2025-01-19
105022.72010867664,2025-01-19
105286.20507652058,2025-01-19
105006.139909608,2025-01-19
104213.78386537512,2025-01-19
105161.03375477593,2025-01-19
104663.03110592213,2025-01-19
104183.90446402156,2025-01-19
104763.60494374142,2025-01-19
104794.97463549642,2025-01-19
105052.62895290433,2025-01-19
104612.46378765638,2025-01-19
104833.7760870572,2025-01-19
105001.04819610785,2025-01-19
104940.53153985427,2025-01-19
106085.44055825933,2025-01-19
105758.54910814636,2025-01-19
103522.29406215232,2025-01-19
103221.86907925215,2025-01-19
101275.33714814208,2025-01-20
99717.60975037608,2025-01-20
100542.11260095066,2025-01-20
101655.82318713676,2025-01-20
101817.43508803177,2025-01-20
102058.75404251853,2025-01-20
102455.24137078089,2025-01-20
107294.60981195435,2025-01-20
107127.07048412197,2025-01-20
108228.26762528597,2025-01-20
108013.55026978825,2025-01-20
108041.04174416988,2025-01-20
108161.99567857297,2025-01-20
106822.73509873448,2025-01-20
107813.34871276142,2025-01-20
107706.0110635397,2025-01-20
104908.16562559467,2025-01-20
106427.96405865643,2025-01-20
102864.58353348567,2025-01-20
104072.56426573706,2025-01-20
103686.82991966167,2025-01-20
103497.42529916775,2025-01-20
102377.84102066602,2025-01-20
103446.73844314495,2025-01-20
102094.72883937496,2025-01-21
101063.53964636955,2025-01-21
101243.9137563174,2025-01-21
102447.6852125143,2025-01-21
102966.85852955778,2025-01-21
101978.34294917599,2025-01-21
101243.17261680542,2025-01-21
101924.34094024563,2025-01-21
101885.47607960703,2025-01-21
102336.84862624663,2025-01-21
102574.84629104717,2025-01-21
103051.92019929607,2025-01-21
103680.99694575471,2025-01-21
104383.96704387927,2025-01-21
104476.60703758195,2025-01-21
103459.5911102788,2025-01-21
104071.02014123625,2025-01-21
104858.63180812451,2025-01-21
106132.12214687715,2025-01-21
106789.70708043047,2025-01-21
106969.68100810557,2025-01-21
106189.88295143405,2025-01-21
106817.77660526973,2025-01-21
106011.73551990329,2025-01-21
106193.34179411683,2025-01-22
106194.21780148889,2025-01-22
105769.31457674179,2025-01-22
105588.50079040088,2025-01-22
105676.93931147885,2025-01-22
105715.69067946191,2025-01-22
105684.2986472254,2025-01-22
105375.25471417564,2025-01-22
105121.58311323935,2025-01-22
105265.54039003127,2025-01-22
104964.5927061866,2025-01-22
105125.72871098916,2025-01-22
105064.6017722564,2025-01-22
105274.67946424602,2025-01-22
104058.3806290983,2025-01-22
104461.75496730869,2025-01-22
104585.95000093221,2025-01-22
103809.42598027962,2025-01-22
104404.40751192812,2025-01-22
103862.59857173236,2025-01-22
104604.75924580242,2025-01-22
104270.85038371527,2025-01-22
104063.7203689605,2025-01-22
103889.57174880913,2025-01-22
103610.2884720945,2025-01-23
103213.21801098887,2025-01-23
102932.26960635831,2025-01-23
102652.0766969804,2025-01-23
102393.49466027308,2025-01-23
101968.18865279967,2025-01-23
102477.01865221249,2025-01-23
102348.1246088757,2025-01-23
102601.69451384385,2025-01-23
102187.99212580184,2025-01-23
101564.38402240237,2025-01-23
101524.9578065445,2025-01-23
101920.04764680567,2025-01-23
101594.67223835022,2025-01-23
102542.27463064871,2025-01-23
105043.4453232807,2025-01-23
105232.58350232254,2025-01-23
105174.05793380646,2025-01-23
105928.72626806023,2025-01-23
105191.8127327177,2025-01-23
103770.54132314972,2025-01-23
103209.18071494896,2025-01-23
102970.65650816544,2025-01-23
103996.38358573921,2025-01-23
104067.60991206947,2025-01-24
103434.51990433177,2025-01-24
103076.00196581223,2025-01-24
103007.08090172919,2025-01-24
103996.44661167011,2025-01-24
104619.85404136483,2025-01-24
105272.24517544167,2025-01-24
105139.69976015505,2025-01-24
105052.05466479034,2025-01-24
105525.55511099196,2025-01-24
105260.18282658844,2025-01-24
105462.11123381382,2025-01-24
105540.321482502,2025-01-24
105130.34603584596,2025-01-24
105859.7275241652,2025-01-24
105950.67934141024,2025-01-24
105673.01827900164,2025-01-24
106462.47510536018,2025-01-24
106270.02361618343,2025-01-24
105773.10157051326,2025-01-24
105218.22708661461,2025-01-24
105090.6031924864,2025-01-24
104828.41023433676,2025-01-24
104865.34040196025,2025-01-25
104425.97081052078,2025-01-25
104682.38613952263,2025-01-25
104525.98725962896,2025-01-25
105196.8110903439,2025-01-25
104739.18830450674,2025-01-25
104297.64110327902,2025-01-25
104322.52268544042,2025-01-25
104351.20375978928,2025-01-25
104318.97199786601,2025-01-25
104357.26605159743,2025-01-25
104529.24290738242,2025-01-25
104629.57499842832,2025-01-25
104747.03513533014,2025-01-25
104717.30641848323,2025-01-25
104586.81029852289,2025-01-25
104882.16753037032,2025-01-25
104651.52346384723,2025-01-25
104817.00540588601,2025-01-25
105060.31985224345,2025-01-25
105057.75920696749,2025-01-25
104932.80976131176,2025-01-25
105115.58851030763,2025-01-25
105043.52337871982,2025-01-25
104757.72169371562,2025-01-26
104581.61343927286,2025-01-26
104600.84394681461,2025-01-26
104666.63517826005,2025-01-26
105022.7586042194,2025-01-26
105124.49967086142,2025-01-26
105074.1904986591,2025-01-26
104977.34707393417,2025-01-26
104977.55779459586,2025-01-26
105012.99705012147,2025-01-26
104626.84268435907,2025-01-26
104699.98623132128,2025-01-26
104824.49421411689,2025-01-26
104806.4631323314,2025-01-26
104946.3964345607,2025-01-26
104922.61570855931,2025-01-26
104946.39234830825,2025-01-26
104918.25372650998,2025-01-26
104955.009255737,2025-01-26
105205.034734833,2025-01-26
105063.78317116658,2025-01-26
104888.56792573529,2025-01-26
104656.02333256452,2025-01-26
104252.44945477527,2025-01-26
102624.65334083581,2025-01-27
101908.79856833804,2025-01-27
101234.88956868813,2025-01-27
100923.40894694143,2025-01-27
101284.67459905501,2025-01-27
100383.21348858169,2025-01-27
100385.40284056596,2025-01-27
98910.61330253117,2025-01-27
99264.17133349284,2025-01-27
99136.857895724,2025-01-27
99371.29777466608,2025-01-27
98380.59207932772,2025-01-27
98942.7402158788,2025-01-27
100751.62780133018,2025-01-27
100519.74186061068,2025-01-27
101907.9836785745,2025-01-27
101043.12534952544,2025-01-27
99598.86853780368,2025-01-27
99162.03326598273,2025-01-27
99143.84212430805,2025-01-27
99644.37967075614,2025-01-27
101486.5818079567,2025-01-27
101584.40962558467,2025-01-27
101728.82790773972,2025-01-27
102101.49013927419,2025-01-28
101840.79975571838,2025-01-28
101433.10979499303,2025-01-28
102411.57444755935,2025-01-28
102592.05437467458,2025-01-28
102922.52934594444,2025-01-28
102992.57835984608,2025-01-28
102684.42718421642,2025-01-28
102766.35271308372,2025-01-28
102855.90000083558,2025-01-28
102933.50523548406,2025-01-28
102740.42074274186,2025-01-28
102784.33565971034,2025-01-28
102563.30480114298,2025-01-28
102574.81008182403,2025-01-28
102700.26221764315,2025-01-28
102692.70970442574,2025-01-28
102298.89275485853,2025-01-28
102659.64718958936,2025-01-28
102180.32884007423,2025-01-28
102395.47703023312,2025-01-28
101325.03464318452,2025-01-28
100272.25743332352,2025-01-28
101191.8542200963,2025-01-28
101340.77163007476,2025-01-29
101745.6374749012,2025-01-29
101807.1531272082,2025-01-29
101754.883654293,2025-01-29
101972.19437391097,2025-01-29
101995.0326605567,2025-01-29
102245.25754593858,2025-01-29
102748.17207859305,2025-01-29
102678.89310173855,2025-01-29
102697.42551218392,2025-01-29
102267.58068692396,2025-01-29
102465.81108516718,2025-01-29
102578.2266858994,2025-01-29
102184.30912747399,2025-01-29
101764.76415521317,2025-01-29
102053.61102757561,2025-01-29
102063.53362483064,2025-01-29
102064.07066474401,2025-01-29
102542.84134196813,2025-01-29
102910.23934445361,2025-01-29
103621.21550924935,2025-01-29
104302.57891352312,2025-01-29
103725.06679541634,2025-01-29
103505.30962657207,2025-01-29
103715.7684209174,2025-01-30
104106.091328276,2025-01-30
104062.16245379577,2025-01-30
104621.97745138497,2025-01-30
105178.04867984517,2025-01-30
105402.31611817043,2025-01-30
105125.3428552742,2025-01-30
105192.17716115106,2025-01-30
105162.28920688407,2025-01-30
105068.55618632458,2025-01-30
105300.60344458018,2025-01-30
105314.44377232197,2025-01-30
105294.1238143463,2025-01-30
105033.27812610562,2025-01-30
104869.32058130573,2025-01-30
105892.90682330292,2025-01-30
105700.60377366941,2025-01-30
105684.10403389746,2025-01-30
105320.05136169468,2025-01-30
105611.5739729221,2025-01-30
105790.75505709808,2025-01-30
105188.81506348633,2025-01-30
105031.3530846565,2025-01-30
105121.06862147224,2025-01-30
104719.69018312056,2025-01-31
104859.2039947492,2025-01-31
104736.87599130778,2025-01-31
104322.18868785404,2025-01-31
104325.00174294008,2025-01-31
103991.35346005936,2025-01-31
104285.77813469055,2025-01-31
104506.3300564099,2025-01-31
104217.79035004404,2025-01-31
104030.89604475061,2025-01-31
104310.04406200137,2025-01-31
104274.53389246491,2025-01-31
104740.66194955219,2025-01-31
104668.68597425931,2025-01-31
104614.28446002454,2025-01-31
104475.41308585052,2025-01-31
105480.45394517481,2025-01-31
105071.25945425681,2025-01-31
104623.76134295262,2025-01-31
102524.21520732481,2025-01-31
102310.35586633568,2025-01-31
101598.16372711949,2025-01-31
101921.93619140107,2025-01-31
102231.1283769451,2025-01-31
102404.93376107872,2025-02-01
102470.38402887621,2025-02-01
102512.46698695565,2025-02-01
102403.77977300351,2025-02-01
102249.72937645671,2025-02-01
102293.87636307711,2025-02-01
102475.68101584575,2025-02-01
102392.6088536625,2025-02-01
102185.38756205894,2025-02-01
101992.51177679887,2025-02-01
101615.24850144365,2025-02-01
101592.66990862337,2025-02-01
102019.51548371714,2025-02-01
102149.95154515926,2025-02-01
101860.22271648972,2025-02-01
101823.14984091595,2025-02-01
102108.3490479744,2025-02-01
101882.43146116784,2025-02-01
102239.73795237648,2025-02-01
101992.1932854985,2025-02-01
101476.28084876582,2025-02-01
101341.21144517073,2025-02-01
101393.69478953844,2025-02-01
100522.89746094769,2025-02-01
100503.92993660411,2025-02-02
101237.55570873898,2025-02-02
101161.8529126038,2025-02-02
100488.42869471373,2025-02-02
99092.333588406,2025-02-02
99511.03304807426,2025-02-02
100272.9911974196,2025-02-02
100355.30821794734,2025-02-02
99593.13977161376,2025-02-02
99794.68350624843,2025-02-02
99645.40771022183,2025-02-02
99342.03532242186,2025-02-02
98933.28243566968,2025-02-02
98201.26569873706,2025-02-02
98791.6437249441,2025-02-02
99259.48949920906,2025-02-02
99306.8359207168,2025-02-02
98196.81871091944,2025-02-02
97157.76217158206,2025-02-02
96896.82676418213,2025-02-02
98235.87175043522,2025-02-02
97793.53821562871,2025-02-02
96988.74415938454,2025-02-02
97815.84535257479,2025-02-02
97652.02866142086,2025-02-03
96653.10505164102,2025-02-03
93517.87531879066,2025-02-03
93529.88153166145,2025-02-03
94068.23649713039,2025-02-03
92876.12162304203,2025-02-03
93885.07988775491,2025-02-03
93984.49582240354,2025-02-03
95437.74841070815,2025-02-03
95431.53785259378,2025-02-03
95373.35106292863,2025-02-03
95770.80181571534,2025-02-03
95184.99000103062,2025-02-03
94848.74372319518,2025-02-03
94721.98536030206,2025-02-03
96874.2426135226,2025-02-03
99175.4839366473,2025-02-03
98664.16766125984,2025-02-03
99427.091812037,2025-02-03
100109.60169399311,2025-02-03
102038.29415299969,2025-02-03
101776.9704902056,2025-02-03
102011.13759922635,2025-02-03
101786.57409375272,2025-02-03
101392.3150300614,2025-02-04
101177.50269250017,2025-02-04
101468.37868950945,2025-02-04
100843.17354271388,2025-02-04
100696.1326357584,2025-02-04
100163.72562649935,2025-02-04
99248.39363079518,2025-02-04
99414.93416195072,2025-02-04
98461.65323336356,2025-02-04
98361.85276813261,2025-02-04
98707.16429232086,2025-02-04
98900.15664785431,2025-02-04
99125.47947716463,2025-02-04
99369.05940581522,2025-02-04
99132.60917545018,2025-02-04
100160.09279025279,2025-02-04
99503.28222371545,2025-02-04
99207.7117070122,2025-02-04
99243.8917964687,2025-02-04
99359.35824162222,2025-02-04
98860.42539595038,2025-02-04
